"<android.widget.ImageView: void setVisibility(int)>","0"
"<android.widget.ImageView: void setVisibility(int)>","0"
"<android.util.Log: int e(java.lang.String,java.lang.String)>","Main","onStart"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.view.View: void setVisibility(int)>","8"
"<android.view.View: void setVisibility(int)>","8"
"<android.graphics.Matrix: void setTranslate(float,float)>","10.729018","0.0"
"<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>","Matrix{[1.0, 0.0, 10.729018][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
"<android.graphics.Matrix: void setTranslate(float,float)>","58.28575","0.0"
"<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>","Matrix{[1.0, 0.0, 58.28575][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
"<android.graphics.Matrix: void setTranslate(float,float)>","119.25097","0.0"
"<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>","Matrix{[1.0, 0.0, 119.25097][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
"<android.graphics.Matrix: void setTranslate(float,float)>","191.96822","0.0"
"<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>","Matrix{[1.0, 0.0, 191.96822][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
"<android.graphics.Matrix: void setTranslate(float,float)>","259.0061","0.0"
"<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>","Matrix{[1.0, 0.0, 259.0061][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
"<android.graphics.Matrix: void setTranslate(float,float)>","319.72977","0.0"
"<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>","Matrix{[1.0, 0.0, 319.72977][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
"<android.graphics.Matrix: void setTranslate(float,float)>","377.01437","0.0"
"<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>","Matrix{[1.0, 0.0, 377.01437][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
"<android.graphics.Matrix: void setTranslate(float,float)>","394.47516","0.0"
"<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>","Matrix{[1.0, 0.0, 394.47516][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
"<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>","Matrix{[1.0, 0.0, 394.47516][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
"<android.app.Activity: void setRequestedOrientation(int)>","6"
"<android.app.Activity: void setContentView(int)>","2130903060"
"<android.os.Handler: boolean sendEmptyMessage(int)>","33"
