<android.util.Log: int v(java.lang.String,java.lang.String)>;"Settings","STATS_5_7:1"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Settings","STATS_0_6:5"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"FPSCounter","fps: 10"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@b3915bb","0","352"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Settings","STATS_6_5:2"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@bb84826","0","560"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@bb84826","0","1776"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"FPSCounter","fps: 7"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@bb84826","0","1728"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@26d7f33","0","1280"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Settings","STATS_9_0:5"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@76989c0","0","832"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@76989c0","0","496"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@26d7f33","0","560"
<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>;"broken.mp3"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@76989c0","0","480"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@d46c7a8","0","176"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@ddf9f05","0","1648"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Settings","STATS_1_3:3"
<android.view.View: void setFocusableInTouchMode(boolean)>;"1"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@bb84826","0","288"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@26d7f33","0","640"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@b3915bb","0","528"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@bb84826","0","928"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Settings","STATS_7_5:2"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@76989c0","0","1600"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Settings","STATS_1_5:3"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@26d7f33","0","256"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@26d7f33","0","1296"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@b3915bb","0","192"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Settings","STATS_8_1:2"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"FPSCounter","fps: 11"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"FPSCounter","fps: 8"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@b3915bb","0","1328"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@bb84826","0","640"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@bb84826","0","1408"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@b3915bb","0","976"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@b3915bb","0","688"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@ddf9f05","0","1728"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@76989c0","0","240"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@bb84826","0","1280"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"pm"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@bb84826","0","1632"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Settings","STATS_8_6:4"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@b3915bb","0","1440"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Settings","STATS_7_2:4"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@b3915bb","0","1504"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Settings","STATS_2_6:3"
