"<java.io.OutputStream: void write(byte[])>","[B@52204bd"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<java.io.PrintStream: void println(java.lang.Object)>","48"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837658"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@7a77693","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@12076d0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837548"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@3e626c9","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@145f1ce"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837659"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@dc8e8ef","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@d5e2ffc"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837549"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@ca16685","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@dd35cda"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837545"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@3e5250b","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@b5c4fe8"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837636"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@c16e601","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@59a6ca6"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837660"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@e3f06e7","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@29a8294"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","xuming","FeatureScreen is go !"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837664"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@86b2a83","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@e73400"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837644"
