"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.app.Activity: void setContentView(android.view.View)>","android.widget.RelativeLayout{ce19576 V.E...... ......I. 0,0-0,0}"
"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","pm"
"<java.nio.ShortBuffer: java.nio.ShortBuffer put(short[],int,int)>","[S@56cdf68","0","1200"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","items.png"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","click.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","fire.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","settle.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","select.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","stageclear.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","broken.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","win.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","gameover.mp3"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","512"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","432"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 14"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","400"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","336"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","320"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","288"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","272"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","240"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","240"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","192"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 13"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","1776"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 13"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","1728"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@bb84826","0","1712"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 11"
