"<android.view.View: void setFocusable(boolean)>","1"
"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<android.app.Activity: void setContentView(android.view.View)>","org.haxe.nme.MainView{d386369 VFE...... ......I. 0,0-0,0}"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/crowd_cpu_score.ogg = 2130903059"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/crowd_human_score.ogg = 2130903060"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 21"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/crowd_human_score.ogg = 2130903060"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/crowd_roar.ogg = 2130903061"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 22"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/crowd_roar.ogg = 2130903061"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/death_female.ogg = 2130903062"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 23"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/death_female.ogg = 2130903062"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/death_male.ogg = 2130903063"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 24"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/death_male.ogg = 2130903063"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/electricity.ogg = 2130903064"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 25"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/electricity.ogg = 2130903064"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/fango_celebrate.ogg = 2130903065"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 26"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/fango_celebrate.ogg = 2130903065"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/felix_celebrate.ogg = 2130903066"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 27"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/felix_celebrate.ogg = 2130903066"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/fire.ogg = 2130903067"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 28"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/fire.ogg = 2130903067"
