"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","ccn.ac"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","com.xsniper.likeshwe.SniperView$GameThread>>>>>>>>>>>>>","has lock of mSurfaceHolder   true"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","com.xsniper.likeshwe.SniperView$GameThread>>>>>>>>>>>>>","draw loading"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","com.xsniper.likeshwe.SniperView>>>>>>>>>>>>>","loading start"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","Loading Texture","-------------loading texture"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","scaleX","--------------2.47125"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","scaleY","--------------2.25"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","java.lang.String>>>>>>>>>>>>>","48"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","java.lang.String>>>>>>>>>>>>>","28"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","mFontHeight-------------,","48"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","API_LEVEL","28"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","Mission 1"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","Mission 1"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.os.Handler: boolean sendEmptyMessage(int)>","1000"
"<android.os.Handler: boolean sendEmptyMessage(int)>","1003"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","com.xsniper.likeshwe.SniperView>>>>>>>>>>>>>","loading elapsed time: 2734"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","com.xsniper.likeshwe.SniperView>>>>>>>>>>>>>","loading end"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------1017.0"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------0"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------992.84625"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------19"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------924.1987"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------73"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","play sound --7"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","play sound .."
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------680.1188"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------265"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------658.5075"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------282"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------570.79126"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------351"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------550.45123"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------367"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------504.68625"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------403"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------462.73502"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------436"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------414.4275"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------474"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------373.7475"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------506"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------329.25375"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------541"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------265.69125"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------591"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------223.74"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------624"
