"<android.widget.ProgressBar: void setVisibility(int)>","0"
"<java.lang.String: boolean startsWith(java.lang.String)>","org.joda.time."
"<java.lang.String: boolean startsWith(java.lang.String)>","javax.xml."
"<java.lang.String: boolean startsWith(java.lang.String)>","net.sf.cglib.proxy."
"<java.lang.String: boolean startsWith(java.lang.String)>","org.hibernate.proxy."
"<java.lang.String: boolean startsWith(java.lang.String)>","get"
"<java.lang.String: boolean startsWith(java.lang.String)>","get"
"<java.lang.StringBuilder: void setCharAt(int,char)>","0","m"
"<java.lang.String: boolean startsWith(java.lang.String)>","get"
"<java.lang.String: boolean startsWith(java.lang.String)>","get"
"<java.lang.StringBuilder: void setCharAt(int,char)>","0","p"
"<java.lang.String: boolean startsWith(java.lang.String)>","get"
"<java.lang.String: boolean startsWith(java.lang.String)>","get"
"<java.lang.StringBuilder: void setCharAt(int,char)>","0","t"
"<java.lang.String: boolean startsWith(java.lang.String)>","get"
"<java.lang.String: boolean startsWith(java.lang.String)>","get"
"<java.lang.StringBuilder: void setCharAt(int,char)>","0","u"
"<android.os.Handler: boolean sendMessage(android.os.Message)>","{ when=-1h26m44s286ms what=1 target=com.turntable.gk.SelectGlod$8 }"
"<android.widget.ProgressBar: void setVisibility(int)>","8"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","网络异常，请查看网络 ，谢谢！"
"<android.app.AlertDialog: void setView(android.view.View,int,int,int,int)>","android.widget.LinearLayout{12cfc0c V.E...... ......I. 0,0-0,0}","0","0","0","0"
"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.app.Activity: void setContentView(android.view.View)>","com.donutgames.dgkit.DGLayout{e5fc98 V.E...... ......I. 0,0-0,0}"
"<android.content.ContextWrapper: boolean bindService(android.content.Intent,android.content.ServiceConnection,int)>","Intent { act=com.android.vending.billing.InAppBillingService.BIND }","com.donutgames.dgkit.DGKitActivity@98a4a44","1"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","19","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_UP, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=5235173, downTime=5235173, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","21","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_LEFT, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=5235155, downTime=5235155, deviceId=-1, source=0x101 }"
"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { act=android.intent.action.VIEW dat=http://www.donutgames.com/... }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","20","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_DOWN, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=5235772, downTime=5235772, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","20","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_DOWN, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=5236196, downTime=5236196, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","20","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_DOWN, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=5236196, downTime=5236196, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","20","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_DOWN, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=5236196, downTime=5236196, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","21","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_LEFT, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=5236219, downTime=5236219, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","21","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_LEFT, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=5236219, downTime=5236219, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","82","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_MENU, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=5236792, downTime=5236792, deviceId=-1, source=0x101 }"
